age,gender,state,race,educational_attainment,occupation
16,Female,Kentucky/KY,White alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Georgia/GA,White alone,GED or alternative credential,"PRS-Hairdressers, Hairstylists, And Cosmetologists"
16,Female,North Dakota/ND,White alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,New York/NY,Asian Indian alone,12th grade - no diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Virginia/VA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,California/CA,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,New Jersey/NJ,White alone,Bachelor's degree,MGR-Marketing Managers
16,Female,New York/NY,White alone,"1 or more years of college credit, no degree",OFF-Postal Service Mail Carriers
16,Female,Tennessee/TN,White; American Indian and Alaska Native,Bachelor's degree,ENG-Other Engineers
19,Female,Texas/TX,White; Some Other Race,Bachelor's degree,EDU-Secondary School Teachers
18,Female,Michigan/MI,White; American Indian and Alaska Native,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,North Carolina/NC,White alone,"1 or more years of college credit, no degree",TRN-Driver/Sales Workers And Truck Drivers
21,Female,Ohio/OH,White alone,Bachelor's degree,EDU-Preschool And Kindergarten Teachers
16,Female,Michigan/MI,White alone,"Some college, but less than 1 year","PRD-Miscellaneous Production Workers, Including Equipment Operators And Tenders"
16,Female,Massachusetts/MA,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Mississippi/MS,Black or African American alone,GED or alternative credential,"PRD-Welding, Soldering, And Brazing Workers"
16,Female,Missouri/MO,White alone,Master's degree,MGR-Industrial Production Managers
17,Female,Missouri/MO,Black or African American alone,Grade 10,CLN-Janitors And Building Cleaners
19,Female,Wisconsin/WI,White alone,Grade 11,CON-Construction Equipment Operators
18,Female,New Jersey/NJ,White alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,California/CA,White alone,Bachelor's degree,HLS-Personal Care Aides
19,Female,New York/NY,White alone,Master's degree,"CMS-Educational, Guidance, And Career Counselors And Advisors"
21,Female,Michigan/MI,Black or African American alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,New York/NY,White alone,Bachelor's degree,MGR-General And Operations Managers
17,Female,Florida/FL,Some Other Race alone,12th grade - no diploma,TRN-Stockers And Order Fillers
18,Female,Michigan/MI,White alone,"1 or more years of college credit, no degree",TRN-Crane And Tower Operators
17,Female,Connecticut/CT,White alone,9,CLN-Landscaping And Groundskeeping Workers
17,Female,Texas/TX,White; Some Other Race,"1 or more years of college credit, no degree",ENG-Other Drafters
17,Female,Delaware/DE,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Pennsylvania/PA,White alone,Regular high school diploma,EAT-First-Line Supervisors Of Food Preparation And Serving Workers
18,Female,California/CA,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Illinois/IL,White alone,Associate's degree,EXT-Underground Mining Machine Operators
16,Female,Texas/TX,Other Asian alone,Bachelor's degree,SAL-Cashiers
19,Female,Massachusetts/MA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,Iowa/IA,White alone,"Some college, but less than 1 year",TRN-Driver/Sales Workers And Truck Drivers
19,Female,Connecticut/CT,Some Other Race alone,Grade 8,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,Georgia/GA,Black or African American alone,Regular high school diploma,EAT-Cooks
20,Female,New York/NY,White alone,"1 or more years of college credit, no degree","CMM-Computer Occupations, All Other"
18,Female,Illinois/IL,White alone,Bachelor's degree,RPR-Industrial And Refractory Machinery Mechanics
17,Female,Florida/FL,White; Some Other Race,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Illinois/IL,Black or African American alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Nevada/NV,White; Japanese,Bachelor's degree,EDU-Elementary And Middle School Teachers
16,Female,North Carolina/NC,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Georgia/GA,White alone,Bachelor's degree,EAT-First-Line Supervisors Of Food Preparation And Serving Workers
18,Female,Virginia/VA,Some Other Race alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,New York/NY,White alone,Associate's degree,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
17,Female,California/CA,Asian Indian alone,Master's degree,CMM-Software Developers
18,Female,Georgia/GA,White; American Indian and Alaska Native,Bachelor's degree,EDU-Secondary School Teachers
19,Female,North Carolina/NC,Black or African American alone,Regular high school diploma,"TRN-Laborers And Freight, Stock, And Material Movers, Hand"
19,Female,Texas/TX,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Connecticut/CT,White alone,Bachelor's degree,EAT-Waiters And Waitresses
19,Female,New York/NY,White alone,Bachelor's degree,MED-Registered Nurses
16,Female,Indiana/IN,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Michigan/MI,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,Pennsylvania/PA,White; Some Other Race,Master's degree,EDU-Elementary And Middle School Teachers
20,Female,Mississippi/MS,White alone,"1 or more years of college credit, no degree",ENG-Civil Engineers
16,Female,Florida/FL,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,New Jersey/NJ,White alone,GED or alternative credential,CLN-Landscaping And Groundskeeping Workers
17,Female,Michigan/MI,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Arkansas/AR,White alone,"Some college, but less than 1 year",CON-Highway Maintenance Workers
16,Female,Massachusetts/MA,White alone,Bachelor's degree,MED-Occupational Therapists
20,Female,Kansas/KS,White alone,Master's degree,MGR-Other Managers
16,Female,Iowa/IA,White alone,Regular high school diploma,RPR-Bus And Truck Mechanics And Diesel Engine Specialists
18,Female,Kentucky/KY,White alone,Regular high school diploma,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
19,Female,Illinois/IL,Black or African American alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,New York/NY,Black or African American alone,Professional degree beyond a bachelor's degree,SCI-Other Life Scientists
19,Female,Texas/TX,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Ohio/OH,White alone,"Some college, but less than 1 year","OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
17,Female,Ohio/OH,White alone,"1 or more years of college credit, no degree","PRD-Inspectors, Testers, Sorters, Samplers, And Weighers"
20,Female,Virginia/VA,White alone,Regular high school diploma,OFF-Couriers And Messengers
16,Female,Texas/TX,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Florida/FL,White; Some Other Race,Bachelor's degree,ENG-Architectural And Civil Drafters
18,Female,North Carolina/NC,Some Other Race alone,1,PRD-Other Assemblers And Fabricators
19,Female,Florida/FL,White; Some Other Race,9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Illinois/IL,White alone,Associate's degree,MED-Registered Nurses
19,Female,California/CA,Black or African American alone,Associate's degree,MED-Radiologic Technologists And Technicians
17,Female,Indiana/IN,Korean alone,Regular high school diploma,MGR-Other Managers
16,Female,Louisiana/LA,White alone,Bachelor's degree,"RPR-Other Installation, Maintenance, And Repair Workers"
18,Female,West Virginia/WV,White alone,Regular high school diploma,CON-Electricians
16,Female,New York/NY,White alone,Regular high school diploma,PRS-Other Entertainment Attendants And Related Workers
17,Female,North Carolina/NC,White alone,Associate's degree,"RPR-Maintenance And Repair Workers, General"
17,Female,Florida/FL,White; Some Other Race,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Florida/FL,White alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Texas/TX,White alone,Bachelor's degree,"MED-Nurse Practitioners, And Nurse Midwives"
18,Female,Tennessee/TN,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Georgia/GA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Illinois/IL,Some Other Race alone,Associate's degree,"OFF-Dispatchers, Except Police, Fire, And Ambulance"
17,Female,New Jersey/NJ,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,New Jersey/NJ,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Pennsylvania/PA,White alone,Regular high school diploma,EDU-Teaching Assistants
21,Female,Tennessee/TN,White; Black or African American,Regular high school diploma,PRD-Other Assemblers And Fabricators
16,Female,Florida/FL,White alone,"1 or more years of college credit, no degree",MGR-Construction Managers
19,Female,Georgia/GA,White; Some Other Race,Regular high school diploma,"PRS-Hairdressers, Hairstylists, And Cosmetologists"
16,Female,Maryland/MD,Black or African American alone,"1 or more years of college credit, no degree",SAL-First-Line Supervisors Of Retail Sales Workers
16,Female,Louisiana/LA,White alone,Bachelor's degree,EDU-Elementary And Middle School Teachers
20,Female,New York/NY,White alone,Bachelor's degree,HLS-Home Health Aides
19,Female,Pennsylvania/PA,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Wisconsin/WI,White alone,Regular high school diploma,"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic"
19,Female,California/CA,White alone,Master's degree,CMM-Computer Programmers
16,Female,Texas/TX,White; Some Other Race,Master's degree,EDU-Secondary School Teachers
19,Female,New Jersey/NJ,White alone,Regular high school diploma,RPR-Industrial And Refractory Machinery Mechanics
19,Female,Oklahoma/OK,Other Asian alone,Regular high school diploma,"PRD-Welding, Soldering, And Brazing Workers"
17,Female,Virginia/VA,White alone,GED or alternative credential,RPR-Radio And Telecommunications Equipment Installers And Repairers
17,Female,Arkansas/AR,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Iowa/IA,White alone,Bachelor's degree,MGR-Other Managers
18,Female,Utah/UT,White alone,Regular high school diploma,EDU-Other Teachers and Instructors
16,Female,Texas/TX,White alone,9,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Florida/FL,Black or African American; Some Other Race,GED or alternative credential,CLN-Janitors And Building Cleaners
18,Female,Michigan/MI,White alone,"Some college, but less than 1 year",OFF-First-Line Supervisors Of Office And Administrative Support Workers
19,Female,Wisconsin/WI,White alone,Regular high school diploma,"BUS-Wholesale And Retail Buyers, Except Farm Products"
17,Female,Arizona/AZ,White alone,Regular high school diploma,PRT-Firefighters
17,Female,Ohio/OH,White alone,Regular high school diploma,"BUS-Business Operations Specialists, All Other"
21,Female,Tennessee/TN,White alone,Regular high school diploma,SAL-Cashiers
19,Female,California/CA,White alone,GED or alternative credential,TRN-Stockers And Order Fillers
17,Female,Oklahoma/OK,American Indian and Alaska Native alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Virginia/VA,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Texas/TX,White alone,Regular high school diploma,"OFF-Secretaries And Administrative Assistants, Except Legal, Medical, And Executive"
16,Female,New York/NY,White alone,Master's degree,"SAL-Securities, Commodities, And Financial Services Sales Agents"
20,Female,Wisconsin/WI,White alone,Regular high school diploma,TRN-Driver/Sales Workers And Truck Drivers
17,Female,Virginia/VA,Black or African American alone,"1 or more years of college credit, no degree",TRN-Stockers And Order Fillers
16,Female,Florida/FL,American Indian and Alaska Native; Some Other Race,"Some college, but less than 1 year","CMM-Computer Occupations, All Other"
17,Female,Michigan/MI,White alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Kansas/KS,White alone,Associate's degree,"Unemployed, With No Work Experience In The Last 5 Years Or Earlier Or Never Worked"
18,Female,Maryland/MD,White alone,Regular high school diploma,MGR-Other Managers
17,Female,Pennsylvania/PA,White alone,"1 or more years of college credit, no degree",HLS-Physical Therapist Assistants And Aides
19,Female,Indiana/IN,Black or African American alone,"1 or more years of college credit, no degree",PRT-Security Guards And Gambling Surveillance Officers
19,Female,South Carolina/SC,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,Minnesota/MN,White alone,Grade 10,CLN-Landscaping And Groundskeeping Workers
20,Female,Massachusetts/MA,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,New York/NY,White alone,Associate's degree,MGR-Social And Community Service Managers
16,Female,Maine/ME,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Florida/FL,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,Michigan/MI,Black or African American alone,Regular high school diploma,OFF-Customer Service Representatives
16,Female,Alabama/AL,American Indian and Alaska Native alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
21,Female,Florida/FL,Asian Indian alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,California/CA,Black or African American alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Ohio/OH,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
18,Female,California/CA,White alone,Doctorate degree,MGR-Financial Managers
18,Female,Missouri/MO,Other Asian alone,Master's degree,MGR-Financial Managers
16,Female,California/CA,White alone,Regular high school diploma,CON-Highway Maintenance Workers
16,Female,Washington/WA,White alone,Bachelor's degree,MGR-Other Managers
17,Female,Missouri/MO,Black or African American alone,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,New Hampshire/NH,White; Some Other Race,Regular high school diploma,"PRD-Miscellaneous Production Workers, Including Equipment Operators And Tenders"
18,Female,Utah/UT,White alone,Master's degree,MGR-Education And Childcare Administrators
16,Female,Hawaii/HI,Native Hawaiian alone,GED or alternative credential,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
17,Female,Florida/FL,White alone,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,North Carolina/NC,Black or African American alone,"1 or more years of college credit, no degree",PRD-Other Assemblers And Fabricators
16,Female,Florida/FL,White alone,GED or alternative credential,MED-Registered Nurses
16,Female,California/CA,Some Other Race alone,Grade 11,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,New York/NY,White alone,Regular high school diploma,"EDU-Archivists, Curators, And Museum Technicians"
16,Female,Ohio/OH,Black or African American alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Nebraska/NE,White alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Mississippi/MS,White alone,Regular high school diploma,HLS-Phlebotomists
19,Female,Florida/FL,White alone,Associate's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
16,Female,Georgia/GA,White alone,Bachelor's degree,PRS-Childcare Workers
18,Female,New Mexico/NM,White alone,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
20,Female,Virginia/VA,American Indian and Alaska Native alone,Associate's degree,BUS-Human Resources Workers
16,Female,Florida/FL,White; Some Other Race,Regular high school diploma,"CON-Plumbers, Pipefitters, And Steamfitters"
17,Female,Texas/TX,White alone,Regular high school diploma,CON-Construction Laborers
20,Female,Texas/TX,White alone,Associate's degree,LGL-Paralegals And Legal Assistants
18,Female,Kansas/KS,White alone,Associate's degree,"ENG-Other Engineering Technologists And Technicians, Except Drafters"
19,Female,Florida/FL,White; Some Other Race,Master's degree,EDU-Elementary And Middle School Teachers
16,Female,Tennessee/TN,White alone,Bachelor's degree,CMS-Clergy
18,Female,Georgia/GA,White alone,Regular high school diploma,"MGR-Farmers, Ranchers, And Other Agricultural Managers"
19,Female,California/CA,Some Other Race alone,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,Illinois/IL,White alone,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked)
19,Female,New York/NY,Other Asian alone,Regular high school diploma,"OFF-Shipping, Receiving, And Inventory Clerks"
17,Female,New York/NY,White; Some Other Race,Professional degree beyond a bachelor's degree,MED-Physicians
20,Female,California/CA,Some Other Race alone,Regular high school diploma,PRD-Other Assemblers And Fabricators
16,Female,Florida/FL,White alone,GED or alternative credential,OFF-Customer Service Representatives
